"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\RegisteRequestProcessor.cs", "C#", 33, 0, 0, 0, 0, 6, 39
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\UpdateUserDataProcessor.cs", "C#", 36, 0, 0, 0, 0, 4, 40
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\ProtobufDispatcher.cs", "C#", 90, 0, 0, 0, 22, 16, 128
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Server\CommunicateServer.cs", "C#", 24, 0, 0, 0, 1, 3, 28
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Server\EntityServer.cs", "C#", 21, 0, 0, 0, 0, 3, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Server\LoginServer.cs", "C#", 22, 0, 0, 0, 0, 3, 25
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\ServiceRegisteExtenstion.cs", "C#", 39, 0, 0, 0, 16, 7, 62
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\Program.cs", "C#", 14, 0, 0, 0, 0, 0, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\ServerEntity\ClientChannel.cs", "C#", 29, 0, 0, 0, 0, 7, 36
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\ServerEntity\MessageUnit.cs", "C#", 29, 0, 0, 0, 0, 5, 34
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\ServerEntity\MessagesContainer.cs", "C#", 27, 0, 0, 0, 0, 6, 33
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\Services\Helper\CipherHelper.cs", "C#", 64, 0, 0, 0, 10, 8, 82
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\Services\LoginService.cs", "C#", 74, 0, 0, 0, 11, 17, 102
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\Services\UserService.cs", "C#", 44, 0, 0, 0, 3, 10, 57
